date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:29:06	18054/18054	---MCZ	200	added ('OK')	text/html	etag:W/%22636ddba1-4686%22	http://hotflix.volkovdesign.com/admin/index.html	C:/My%20Web%20Sites/admin-asm1-php2/hotflix.volkovdesign.com/admin/index.html	(from )
17:29:07	3725/3725	---MC-	424	error ('Failed%20Dependency')	text/html	date:Wed,%2001%20Feb%202023%2010:29:06%20GMT	http://hotflix.volkovdesign.com/robots.txt		(from )
17:29:07	3886/3886	---MCZ	200	added ('OK')	text/css	etag:W/%22636ddba1-f2e%22	http://hotflix.volkovdesign.com/admin/css/bootstrap-reboot.min.css	C:/My%20Web%20Sites/admin-asm1-php2/hotflix.volkovdesign.com/admin/css/bootstrap-reboot.min.css	(from http://hotflix.volkovdesign.com/admin/index.html)
17:29:07	51001/51001	---MCZ	200	added ('OK')	text/css	etag:W/%22636ddba1-c739%22	http://hotflix.volkovdesign.com/admin/css/bootstrap-grid.min.css	C:/My%20Web%20Sites/admin-asm1-php2/hotflix.volkovdesign.com/admin/css/bootstrap-grid.min.css	(from http://hotflix.volkovdesign.com/admin/index.html)
17:29:08	7302/7302	---MCZ	200	added ('OK')	text/css	etag:W/%22636ddba1-1c86%22	http://hotflix.volkovdesign.com/admin/css/magnific-popup.css	C:/My%20Web%20Sites/admin-asm1-php2/hotflix.volkovdesign.com/admin/css/magnific-popup.css	(from http://hotflix.volkovdesign.com/admin/index.html)
17:29:08	42839/42839	---MCZ	200	added ('OK')	text/css	etag:W/%22636ddba1-a757%22	http://hotflix.volkovdesign.com/admin/css/jquery.mCustomScrollbar.min.css	C:/My%20Web%20Sites/admin-asm1-php2/hotflix.volkovdesign.com/admin/css/jquery.mCustomScrollbar.min.css	(from http://hotflix.volkovdesign.com/admin/index.html)
17:29:09	14967/14967	---MCZ	200	added ('OK')	text/css	etag:W/%22636ddba1-3a77%22	http://hotflix.volkovdesign.com/admin/css/select2.min.css	C:/My%20Web%20Sites/admin-asm1-php2/hotflix.volkovdesign.com/admin/css/select2.min.css	(from http://hotflix.volkovdesign.com/admin/index.html)
17:29:09	45229/45229	---MCZ	200	added ('OK')	text/css	etag:W/%22636ddba1-b0ad%22	http://hotflix.volkovdesign.com/admin/css/ionicons.min.css	C:/My%20Web%20Sites/admin-asm1-php2/hotflix.volkovdesign.com/admin/css/ionicons.min.css	(from http://hotflix.volkovdesign.com/admin/index.html)
17:29:09	52806/52806	---MCZ	200	added ('OK')	text/css	etag:W/%22636ddba1-ce46%22	http://hotflix.volkovdesign.com/admin/css/admin.css	C:/My%20Web%20Sites/admin-asm1-php2/hotflix.volkovdesign.com/admin/css/admin.css	(from http://hotflix.volkovdesign.com/admin/index.html)
17:29:09	306/306	---M--	200	added ('OK')	image/png	etag:%22636ddba1-132%22	http://hotflix.volkovdesign.com/admin/icon/favicon-32x32.png	C:/My%20Web%20Sites/admin-asm1-php2/hotflix.volkovdesign.com/admin/icon/favicon-32x32.png	(from http://hotflix.volkovdesign.com/admin/index.html)
17:29:10	1377/1377	---M--	200	added ('OK')	image/svg+xml	etag:%22636ddba1-561%22	http://hotflix.volkovdesign.com/admin/img/logo.svg	C:/My%20Web%20Sites/admin-asm1-php2/hotflix.volkovdesign.com/admin/img/logo.svg	(from http://hotflix.volkovdesign.com/admin/index.html)
17:29:10	718/718	---M--	200	added ('OK')	image/svg+xml	etag:%22636ddba1-2ce%22	http://hotflix.volkovdesign.com/admin/img/user.svg	C:/My%20Web%20Sites/admin-asm1-php2/hotflix.volkovdesign.com/admin/img/user.svg	(from http://hotflix.volkovdesign.com/admin/index.html)
17:29:10	22122/22122	---MCZ	200	added ('OK')	text/html	etag:W/%22636ddba1-566a%22	http://hotflix.volkovdesign.com/admin/catalog.html	C:/My%20Web%20Sites/admin-asm1-php2/hotflix.volkovdesign.com/admin/catalog.html	(from http://hotflix.volkovdesign.com/admin/index.html)
17:29:11	21689/21689	---MCZ	200	added ('OK')	text/html	etag:W/%22636ddba1-54b9%22	http://hotflix.volkovdesign.com/admin/add-item.html	C:/My%20Web%20Sites/admin-asm1-php2/hotflix.volkovdesign.com/admin/add-item.html	(from http://hotflix.volkovdesign.com/admin/index.html)
17:29:11	41164/41164	---MCZ	200	added ('OK')	text/html	etag:W/%22636ddba1-a0cc%22	http://hotflix.volkovdesign.com/admin/edit-user.html	C:/My%20Web%20Sites/admin-asm1-php2/hotflix.volkovdesign.com/admin/edit-user.html	(from http://hotflix.volkovdesign.com/admin/index.html)
